emoji,name,shortname
🧚🏻‍♀,woman_fairy:light_skin_tone,:woman_fairy:light_skin_tone:
🧚🏼‍♀️,woman_fairy:medium-light_skin_tone,:woman_fairy:medium-light_skin_tone:
🧚🏼‍♀,woman_fairy:medium-light_skin_tone,:woman_fairy:medium-light_skin_tone:
🧚🏽‍♀️,woman_fairy:medium_skin_tone,:woman_fairy:medium_skin_tone:
🧚🏽‍♀,woman_fairy:medium_skin_tone,:woman_fairy:medium_skin_tone:
🧚🏾‍♀️,woman_fairy:medium-dark_skin_tone,:woman_fairy:medium-dark_skin_tone:
🧚🏾‍♀,woman_fairy:medium-dark_skin_tone,:woman_fairy:medium-dark_skin_tone:
🧚🏿‍♀️,woman_fairy:dark_skin_tone,:woman_fairy:dark_skin_tone:
🧚🏿‍♀,woman_fairy:dark_skin_tone,:woman_fairy:dark_skin_tone:
🧚‍♂️,man_fairy,:man_fairy:
🧚‍♂,man_fairy,:man_fairy:
🧚🏻‍♂️,man_fairy:light_skin_tone,:man_fairy:light_skin_tone:
🧚🏻‍♂,man_fairy:light_skin_tone,:man_fairy:light_skin_tone:
🧚🏼‍♂️,man_fairy:medium-light_skin_tone,:man_fairy:medium-light_skin_tone:
🧚🏼‍♂,man_fairy:medium-light_skin_tone,:man_fairy:medium-light_skin_tone:
🧚🏽‍♂️,man_fairy:medium_skin_tone,:man_fairy:medium_skin_tone:
🧚🏽‍♂,man_fairy:medium_skin_tone,:man_fairy:medium_skin_tone:
🧚🏾‍♂️,man_fairy:medium-dark_skin_tone,:man_fairy:medium-dark_skin_tone:
🧚🏾‍♂,man_fairy:medium-dark_skin_tone,:man_fairy:medium-dark_skin_tone:
🧚🏿‍♂️,man_fairy:dark_skin_tone,:man_fairy:dark_skin_tone:
🧚🏿‍♂,man_fairy:dark_skin_tone,:man_fairy:dark_skin_tone:
🧛,vampire,:vampire:
🧛🏻,vampire:light_skin_tone,:vampire:light_skin_tone:
🧛🏼,vampire:medium-light_skin_tone,:vampire:medium-light_skin_tone:
🧛🏽,vampire:medium_skin_tone,:vampire:medium_skin_tone:
🧛🏾,vampire:medium-dark_skin_tone,:vampire:medium-dark_skin_tone:
🧛🏿,vampire:dark_skin_tone,:vampire:dark_skin_tone:
🧛‍♀️,woman_vampire,:woman_vampire:
🧛‍♀,woman_vampire,:woman_vampire:
🧛🏻‍♀️,woman_vampire:light_skin_tone,:woman_vampire:light_skin_tone:
🧛🏻‍♀,woman_vampire:light_skin_tone,:woman_vampire:light_skin_tone:
🧛🏼‍♀️,woman_vampire:medium-light_skin_tone,:woman_vampire:medium-light_skin_tone:
🧛🏼‍♀,woman_vampire:medium-light_skin_tone,:woman_vampire:medium-light_skin_tone:
🧛🏽‍♀️,woman_vampire:medium_skin_tone,:woman_vampire:medium_skin_tone:
🧛🏽‍♀,woman_vampire:medium_skin_tone,:woman_vampire:medium_skin_tone:
🧛🏾‍♀️,woman_vampire:medium-dark_skin_tone,:woman_vampire:medium-dark_skin_tone:
🧛🏾‍♀,woman_vampire:medium-dark_skin_tone,:woman_vampire:medium-dark_skin_tone:
🧛🏿‍♀️,woman_vampire:dark_skin_tone,:woman_vampire:dark_skin_tone:
🧛🏿‍♀,woman_vampire:dark_skin_tone,:woman_vampire:dark_skin_tone:
🧛‍♂️,man_vampire,:man_vampire:
🧛‍♂,man_vampire,:man_vampire:
🧛🏻‍♂️,man_vampire:light_skin_tone,:man_vampire:light_skin_tone:
